[2026-05-13 12:48:06] =======================================================
[2026-05-13 12:48:06] NUEVA EJECUCIÓN
[2026-05-13 12:48:06] Material          : PLA
[2026-05-13 12:48:06] Perfil            : Balanceado
[2026-05-13 12:48:06] Tamaño población  : 200
[2026-05-13 12:48:06] Generaciones      : 500
[2026-05-13 12:48:06] Tasa cruce        : 0.8
[2026-05-13 12:48:06] Tasa mutación     : 0.1
[2026-05-13 12:48:06] Torneo K          : 3
[2026-05-13 12:48:06] --- Evolución ---
[2026-05-13 12:48:06] Gen 0001 | Mejor fitness: 0.782579 | Promedio: 0.706533
[2026-05-13 12:48:06] Gen 0002 | Mejor fitness: 0.782579 | Promedio: 0.734077
[2026-05-13 12:48:06] Gen 0003 | Mejor fitness: 0.785279 | Promedio: 0.752266
[2026-05-13 12:48:06] Gen 0004 | Mejor fitness: 0.787786 | Promedio: 0.766563
[2026-05-13 12:48:06] Gen 0005 | Mejor fitness: 0.792593 | Promedio: 0.776999
[2026-05-13 12:48:06] Gen 0006 | Mejor fitness: 0.794112 | Promedio: 0.782500
[2026-05-13 12:48:06] Gen 0007 | Mejor fitness: 0.794832 | Promedio: 0.786012
[2026-05-13 12:48:06] Gen 0008 | Mejor fitness: 0.795091 | Promedio: 0.788408
[2026-05-13 12:48:06] Gen 0009 | Mejor fitness: 0.796636 | Promedio: 0.790805
[2026-05-13 12:48:06] Gen 0010 | Mejor fitness: 0.797264 | Promedio: 0.792391
[2026-05-13 12:48:06] Gen 0011 | Mejor fitness: 0.797269 | Promedio: 0.793695
[2026-05-13 12:48:06] Gen 0012 | Mejor fitness: 0.797415 | Promedio: 0.794690
[2026-05-13 12:48:06] Gen 0013 | Mejor fitness: 0.797678 | Promedio: 0.795655
[2026-05-13 12:48:06] Gen 0014 | Mejor fitness: 0.797744 | Promedio: 0.796430
[2026-05-13 12:48:06] Gen 0015 | Mejor fitness: 0.797893 | Promedio: 0.796763
[2026-05-13 12:48:06] Gen 0016 | Mejor fitness: 0.798075 | Promedio: 0.796987
[2026-05-13 12:48:06] Gen 0017 | Mejor fitness: 0.798150 | Promedio: 0.797225
[2026-05-13 12:48:06] Gen 0018 | Mejor fitness: 0.798245 | Promedio: 0.797362
[2026-05-13 12:48:06] Gen 0019 | Mejor fitness: 0.798363 | Promedio: 0.797531
[2026-05-13 12:48:06] Gen 0020 | Mejor fitness: 0.798406 | Promedio: 0.797583
[2026-05-13 12:48:06] Gen 0021 | Mejor fitness: 0.798406 | Promedio: 0.797695
[2026-05-13 12:48:06] Gen 0022 | Mejor fitness: 0.798427 | Promedio: 0.797740
[2026-05-13 12:48:06] Gen 0023 | Mejor fitness: 0.798450 | Promedio: 0.797817
[2026-05-13 12:48:06] Gen 0024 | Mejor fitness: 0.798466 | Promedio: 0.798026
[2026-05-13 12:48:06] Gen 0025 | Mejor fitness: 0.798481 | Promedio: 0.797920
[2026-05-13 12:48:06] Gen 0026 | Mejor fitness: 0.798481 | Promedio: 0.797916
[2026-05-13 12:48:06] Gen 0027 | Mejor fitness: 0.798481 | Promedio: 0.797919
[2026-05-13 12:48:06] Gen 0028 | Mejor fitness: 0.798481 | Promedio: 0.797870
[2026-05-13 12:48:06] Gen 0029 | Mejor fitness: 0.798481 | Promedio: 0.797999
[2026-05-13 12:48:06] Gen 0030 | Mejor fitness: 0.798481 | Promedio: 0.797928
[2026-05-13 12:48:06] Gen 0031 | Mejor fitness: 0.798483 | Promedio: 0.797961
[2026-05-13 12:48:06] Gen 0032 | Mejor fitness: 0.798485 | Promedio: 0.798028
[2026-05-13 12:48:06] Gen 0033 | Mejor fitness: 0.798485 | Promedio: 0.797982
[2026-05-13 12:48:06] Gen 0034 | Mejor fitness: 0.798485 | Promedio: 0.797952
[2026-05-13 12:48:06] Gen 0035 | Mejor fitness: 0.798485 | Promedio: 0.798068
[2026-05-13 12:48:06] Gen 0036 | Mejor fitness: 0.798485 | Promedio: 0.798103
[2026-05-13 12:48:06] Gen 0037 | Mejor fitness: 0.798485 | Promedio: 0.798098
[2026-05-13 12:48:06] Gen 0038 | Mejor fitness: 0.798485 | Promedio: 0.798121
[2026-05-13 12:48:06] Gen 0039 | Mejor fitness: 0.798485 | Promedio: 0.798003
[2026-05-13 12:48:06] Gen 0040 | Mejor fitness: 0.798485 | Promedio: 0.797964
[2026-05-13 12:48:06] Gen 0041 | Mejor fitness: 0.798485 | Promedio: 0.797963
[2026-05-13 12:48:06] Gen 0042 | Mejor fitness: 0.798485 | Promedio: 0.798011
