[2026-05-14 12:47:28] =======================================================
[2026-05-14 12:47:28] NUEVA EJECUCIÓN
[2026-05-14 12:47:28] Material          : PLA
[2026-05-14 12:47:28] Perfil            : Rápido
[2026-05-14 12:47:28] Tamaño población  : 200
[2026-05-14 12:47:28] Generaciones      : 500
[2026-05-14 12:47:28] Tasa cruce        : 0.8
[2026-05-14 12:47:28] Tasa mutación     : 0.1
[2026-05-14 12:47:28] Torneo K          : 3
[2026-05-14 12:47:28] --- Evolución ---
[2026-05-14 12:47:28] Gen 0001 | Mejor fitness: 0.885571 | Promedio: 0.850232
[2026-05-14 12:47:28] Gen 0002 | Mejor fitness: 0.891953 | Promedio: 0.866612
[2026-05-14 12:47:28] Gen 0003 | Mejor fitness: 0.895832 | Promedio: 0.877135
[2026-05-14 12:47:28] Gen 0004 | Mejor fitness: 0.897975 | Promedio: 0.884046
[2026-05-14 12:47:28] Gen 0005 | Mejor fitness: 0.902057 | Promedio: 0.890842
[2026-05-14 12:47:28] Gen 0006 | Mejor fitness: 0.902057 | Promedio: 0.894886
[2026-05-14 12:47:28] Gen 0007 | Mejor fitness: 0.903547 | Promedio: 0.897617
[2026-05-14 12:47:28] Gen 0008 | Mejor fitness: 0.904768 | Promedio: 0.899935
[2026-05-14 12:47:28] Gen 0009 | Mejor fitness: 0.905870 | Promedio: 0.901667
[2026-05-14 12:47:28] Gen 0010 | Mejor fitness: 0.905870 | Promedio: 0.902673
[2026-05-14 12:47:28] Gen 0011 | Mejor fitness: 0.906119 | Promedio: 0.903629
[2026-05-14 12:47:28] Gen 0012 | Mejor fitness: 0.906119 | Promedio: 0.904459
[2026-05-14 12:47:28] Gen 0013 | Mejor fitness: 0.906248 | Promedio: 0.905178
[2026-05-14 12:47:28] Gen 0014 | Mejor fitness: 0.906341 | Promedio: 0.905390
[2026-05-14 12:47:28] Gen 0015 | Mejor fitness: 0.906427 | Promedio: 0.905651
[2026-05-14 12:47:28] Gen 0016 | Mejor fitness: 0.906456 | Promedio: 0.905852
[2026-05-14 12:47:28] Gen 0017 | Mejor fitness: 0.906533 | Promedio: 0.905865
[2026-05-14 12:47:28] Gen 0018 | Mejor fitness: 0.906542 | Promedio: 0.906071
[2026-05-14 12:47:28] Gen 0019 | Mejor fitness: 0.906585 | Promedio: 0.906213
[2026-05-14 12:47:28] Gen 0020 | Mejor fitness: 0.906585 | Promedio: 0.906161
[2026-05-14 12:47:28] Gen 0021 | Mejor fitness: 0.906587 | Promedio: 0.906186
[2026-05-14 12:47:28] Gen 0022 | Mejor fitness: 0.906590 | Promedio: 0.906309
[2026-05-14 12:47:28] Gen 0023 | Mejor fitness: 0.906590 | Promedio: 0.906251
[2026-05-14 12:47:28] Gen 0024 | Mejor fitness: 0.906593 | Promedio: 0.906363
[2026-05-14 12:47:28] Gen 0025 | Mejor fitness: 0.906593 | Promedio: 0.906339
[2026-05-14 12:47:28] Gen 0026 | Mejor fitness: 0.906593 | Promedio: 0.906315
[2026-05-14 12:47:28] Gen 0027 | Mejor fitness: 0.906593 | Promedio: 0.906238
[2026-05-14 12:47:28] Gen 0028 | Mejor fitness: 0.906594 | Promedio: 0.906340
[2026-05-14 12:47:28] Gen 0029 | Mejor fitness: 0.906594 | Promedio: 0.906328
[2026-05-14 12:47:28] Gen 0030 | Mejor fitness: 0.906594 | Promedio: 0.906345
[2026-05-14 12:47:28] Gen 0031 | Mejor fitness: 0.906595 | Promedio: 0.906352
[2026-05-14 12:47:28] Gen 0032 | Mejor fitness: 0.906595 | Promedio: 0.906405
[2026-05-14 12:47:28] Gen 0033 | Mejor fitness: 0.906595 | Promedio: 0.906255
[2026-05-14 12:47:28] Gen 0034 | Mejor fitness: 0.906595 | Promedio: 0.906323
[2026-05-14 12:47:28] Gen 0035 | Mejor fitness: 0.906595 | Promedio: 0.906241
[2026-05-14 12:47:28] Gen 0036 | Mejor fitness: 0.906596 | Promedio: 0.906310
[2026-05-14 12:47:28] Gen 0037 | Mejor fitness: 0.906596 | Promedio: 0.906258
[2026-05-14 12:47:28] Gen 0038 | Mejor fitness: 0.906596 | Promedio: 0.906353
[2026-05-14 12:47:28] Gen 0039 | Mejor fitness: 0.906596 | Promedio: 0.906313
[2026-05-14 12:47:28] Gen 0040 | Mejor fitness: 0.906596 | Promedio: 0.906419
[2026-05-14 12:47:28] Gen 0041 | Mejor fitness: 0.906596 | Promedio: 0.906269
[2026-05-14 12:47:28] Gen 0042 | Mejor fitness: 0.906596 | Promedio: 0.906236
[2026-05-14 12:47:28] Gen 0043 | Mejor fitness: 0.906596 | Promedio: 0.906359
[2026-05-14 12:47:28] Gen 0044 | Mejor fitness: 0.906596 | Promedio: 0.906336
[2026-05-14 12:47:28] Gen 0045 | Mejor fitness: 0.906599 | Promedio: 0.906372
[2026-05-14 12:47:28] Gen 0046 | Mejor fitness: 0.906601 | Promedio: 0.906397
[2026-05-14 12:47:28] Gen 0047 | Mejor fitness: 0.906601 | Promedio: 0.906332
[2026-05-14 12:47:28] Gen 0048 | Mejor fitness: 0.906601 | Promedio: 0.906372
[2026-05-14 12:47:28] Gen 0049 | Mejor fitness: 0.906601 | Promedio: 0.906400
[2026-05-14 12:47:28] Gen 0050 | Mejor fitness: 0.906601 | Promedio: 0.906302
[2026-05-14 12:47:28] Gen 0051 | Mejor fitness: 0.906603 | Promedio: 0.906291
[2026-05-14 12:47:28] Gen 0052 | Mejor fitness: 0.906603 | Promedio: 0.906337
[2026-05-14 12:47:28] Gen 0053 | Mejor fitness: 0.906603 | Promedio: 0.906308
[2026-05-14 12:47:28] Gen 0054 | Mejor fitness: 0.906603 | Promedio: 0.906397
[2026-05-14 12:47:28] Gen 0055 | Mejor fitness: 0.906603 | Promedio: 0.906373
[2026-05-14 12:47:28] Gen 0056 | Mejor fitness: 0.906603 | Promedio: 0.906384
[2026-05-14 12:47:28] Gen 0057 | Mejor fitness: 0.906603 | Promedio: 0.906358
[2026-05-14 12:47:28] Gen 0058 | Mejor fitness: 0.906603 | Promedio: 0.906419
[2026-05-14 12:47:28] Gen 0059 | Mejor fitness: 0.906603 | Promedio: 0.906354
[2026-05-14 12:47:28] Gen 0060 | Mejor fitness: 0.906603 | Promedio: 0.906430
[2026-05-14 12:47:28] Gen 0061 | Mejor fitness: 0.906603 | Promedio: 0.906349
[2026-05-14 12:47:28] Gen 0062 | Mejor fitness: 0.906603 | Promedio: 0.906401
[2026-05-14 12:47:28] Gen 0063 | Mejor fitness: 0.906603 | Promedio: 0.906392
[2026-05-14 12:47:28] Gen 0064 | Mejor fitness: 0.906603 | Promedio: 0.906405
[2026-05-14 12:47:28] Gen 0065 | Mejor fitness: 0.906603 | Promedio: 0.906183
[2026-05-14 12:47:28] Gen 0066 | Mejor fitness: 0.906603 | Promedio: 0.906277
[2026-05-14 12:47:28] Gen 0067 | Mejor fitness: 0.906603 | Promedio: 0.906319
[2026-05-14 12:47:28] Gen 0068 | Mejor fitness: 0.906603 | Promedio: 0.906373
[2026-05-14 12:47:28] Gen 0069 | Mejor fitness: 0.906603 | Promedio: 0.906269
[2026-05-14 12:47:28] Gen 0070 | Mejor fitness: 0.906603 | Promedio: 0.906418
[2026-05-14 12:47:28] Gen 0071 | Mejor fitness: 0.906603 | Promedio: 0.906344
[2026-05-14 12:47:28] Gen 0072 | Mejor fitness: 0.906603 | Promedio: 0.906428
[2026-05-14 12:47:28] Gen 0073 | Mejor fitness: 0.906603 | Promedio: 0.906110
[2026-05-14 12:47:28] Gen 0074 | Mejor fitness: 0.906603 | Promedio: 0.906428
[2026-05-14 12:47:28] Gen 0075 | Mejor fitness: 0.906603 | Promedio: 0.906408
[2026-05-14 12:47:28] Gen 0076 | Mejor fitness: 0.906603 | Promedio: 0.906313
[2026-05-14 12:47:28] Gen 0077 | Mejor fitness: 0.906603 | Promedio: 0.906455
[2026-05-14 12:47:28] Gen 0078 | Mejor fitness: 0.906603 | Promedio: 0.906334
[2026-05-14 12:47:28] Gen 0079 | Mejor fitness: 0.906603 | Promedio: 0.906405
[2026-05-14 12:47:28] Gen 0080 | Mejor fitness: 0.906603 | Promedio: 0.906290
[2026-05-14 12:47:28] Gen 0081 | Mejor fitness: 0.906603 | Promedio: 0.906342
[2026-05-14 12:47:28] Gen 0082 | Mejor fitness: 0.906603 | Promedio: 0.906298
[2026-05-14 12:47:28] Gen 0083 | Mejor fitness: 0.906603 | Promedio: 0.906269
[2026-05-14 12:47:28] Gen 0084 | Mejor fitness: 0.906603 | Promedio: 0.906388
[2026-05-14 12:47:28] Gen 0085 | Mejor fitness: 0.906603 | Promedio: 0.906427
