[2026-05-13 12:47:47] =======================================================
[2026-05-13 12:47:47] NUEVA EJECUCIÓN
[2026-05-13 12:47:47] Material          : PLA
[2026-05-13 12:47:47] Perfil            : Funcional
[2026-05-13 12:47:47] Tamaño población  : 200
[2026-05-13 12:47:47] Generaciones      : 500
[2026-05-13 12:47:47] Tasa cruce        : 0.8
[2026-05-13 12:47:47] Tasa mutación     : 0.1
[2026-05-13 12:47:47] Torneo K          : 3
[2026-05-13 12:47:47] --- Evolución ---
[2026-05-13 12:47:47] Gen 0062 | Mejor fitness: 0.810395 | Promedio: 0.809811
[2026-05-13 12:47:47] Gen 0063 | Mejor fitness: 0.810395 | Promedio: 0.809789
[2026-05-13 12:47:47] Gen 0064 | Mejor fitness: 0.810395 | Promedio: 0.809824
[2026-05-13 12:47:47] Gen 0065 | Mejor fitness: 0.810395 | Promedio: 0.809669
[2026-05-13 12:47:47] Gen 0066 | Mejor fitness: 0.810395 | Promedio: 0.809883
[2026-05-13 12:47:47] Gen 0067 | Mejor fitness: 0.810395 | Promedio: 0.810078
[2026-05-13 12:47:47] Gen 0068 | Mejor fitness: 0.810395 | Promedio: 0.809861
[2026-05-13 12:47:47] Gen 0069 | Mejor fitness: 0.810395 | Promedio: 0.809959
[2026-05-13 12:47:47] Gen 0070 | Mejor fitness: 0.810395 | Promedio: 0.809757
[2026-05-13 12:47:47] Gen 0071 | Mejor fitness: 0.810395 | Promedio: 0.809744
[2026-05-13 12:47:47] Gen 0072 | Mejor fitness: 0.810395 | Promedio: 0.809764
[2026-05-13 12:47:47] Gen 0073 | Mejor fitness: 0.810395 | Promedio: 0.809772
[2026-05-13 12:47:47] Gen 0074 | Mejor fitness: 0.810395 | Promedio: 0.809663
[2026-05-13 12:47:47] Gen 0075 | Mejor fitness: 0.810395 | Promedio: 0.809845
[2026-05-13 12:47:47] Gen 0076 | Mejor fitness: 0.810395 | Promedio: 0.809752
[2026-05-13 12:47:47] Gen 0077 | Mejor fitness: 0.810395 | Promedio: 0.809822
[2026-05-13 12:47:47] Gen 0078 | Mejor fitness: 0.810395 | Promedio: 0.809864
[2026-05-13 12:47:47] Gen 0079 | Mejor fitness: 0.810395 | Promedio: 0.809721
[2026-05-13 12:47:47] Gen 0080 | Mejor fitness: 0.810395 | Promedio: 0.809624
[2026-05-13 12:47:47] Gen 0081 | Mejor fitness: 0.810395 | Promedio: 0.809840
[2026-05-13 12:47:47] Gen 0082 | Mejor fitness: 0.810395 | Promedio: 0.809863
[2026-05-13 12:47:47] Gen 0083 | Mejor fitness: 0.810395 | Promedio: 0.809955
[2026-05-13 12:47:47] Gen 0084 | Mejor fitness: 0.810395 | Promedio: 0.809979
[2026-05-13 12:47:47] Gen 0085 | Mejor fitness: 0.810395 | Promedio: 0.809816
[2026-05-13 12:47:47] Gen 0086 | Mejor fitness: 0.810395 | Promedio: 0.809676
[2026-05-13 12:47:47] Gen 0087 | Mejor fitness: 0.810395 | Promedio: 0.809606
[2026-05-13 12:47:47] Gen 0088 | Mejor fitness: 0.810395 | Promedio: 0.809658
[2026-05-13 12:47:47] Gen 0089 | Mejor fitness: 0.810395 | Promedio: 0.809778
[2026-05-13 12:47:47] Gen 0090 | Mejor fitness: 0.810395 | Promedio: 0.809541
[2026-05-13 12:47:47] Gen 0091 | Mejor fitness: 0.810395 | Promedio: 0.809763
[2026-05-13 12:47:47] Gen 0092 | Mejor fitness: 0.810395 | Promedio: 0.809852
[2026-05-13 12:47:47] Gen 0093 | Mejor fitness: 0.810395 | Promedio: 0.809638
[2026-05-13 12:47:47] Gen 0094 | Mejor fitness: 0.810395 | Promedio: 0.809610
[2026-05-13 12:47:47] Gen 0095 | Mejor fitness: 0.810395 | Promedio: 0.809759
[2026-05-13 12:47:47] Gen 0096 | Mejor fitness: 0.810395 | Promedio: 0.809606
[2026-05-13 12:47:47] Gen 0097 | Mejor fitness: 0.810395 | Promedio: 0.809643
[2026-05-13 12:47:47] Gen 0098 | Mejor fitness: 0.810395 | Promedio: 0.809869
[2026-05-13 12:47:47] Gen 0099 | Mejor fitness: 0.810395 | Promedio: 0.809909
[2026-05-13 12:47:47] Gen 0100 | Mejor fitness: 0.810395 | Promedio: 0.809864
[2026-05-13 12:47:47] Gen 0101 | Mejor fitness: 0.810395 | Promedio: 0.809801
[2026-05-13 12:47:47] Gen 0102 | Mejor fitness: 0.810395 | Promedio: 0.809681
[2026-05-13 12:47:47] Gen 0103 | Mejor fitness: 0.810395 | Promedio: 0.809632
[2026-05-13 12:47:47] Gen 0104 | Mejor fitness: 0.810395 | Promedio: 0.809848
[2026-05-13 12:47:47] Gen 0105 | Mejor fitness: 0.810395 | Promedio: 0.809855
[2026-05-13 12:47:47] Gen 0106 | Mejor fitness: 0.810395 | Promedio: 0.809753
[2026-05-13 12:47:47] Gen 0107 | Mejor fitness: 0.810395 | Promedio: 0.809922
[2026-05-13 12:47:47] Gen 0108 | Mejor fitness: 0.810395 | Promedio: 0.809879
[2026-05-13 12:47:47] Gen 0109 | Mejor fitness: 0.810395 | Promedio: 0.809970
[2026-05-13 12:47:47] Gen 0110 | Mejor fitness: 0.810396 | Promedio: 0.809992
[2026-05-13 12:47:47] Gen 0111 | Mejor fitness: 0.810396 | Promedio: 0.809666
[2026-05-13 12:47:47] Gen 0112 | Mejor fitness: 0.810396 | Promedio: 0.809944
[2026-05-13 12:47:47] Gen 0113 | Mejor fitness: 0.810396 | Promedio: 0.809648
[2026-05-13 12:47:47] Gen 0114 | Mejor fitness: 0.810396 | Promedio: 0.809827
[2026-05-13 12:47:47] Gen 0115 | Mejor fitness: 0.810396 | Promedio: 0.809768
[2026-05-13 12:47:47] Gen 0116 | Mejor fitness: 0.810396 | Promedio: 0.809505
[2026-05-13 12:47:47] Gen 0117 | Mejor fitness: 0.810396 | Promedio: 0.809622
[2026-05-13 12:47:47] Gen 0118 | Mejor fitness: 0.810396 | Promedio: 0.809848
[2026-05-13 12:47:47] Gen 0119 | Mejor fitness: 0.810396 | Promedio: 0.809870
[2026-05-13 12:47:47] Gen 0120 | Mejor fitness: 0.810396 | Promedio: 0.809720
[2026-05-13 12:47:47] Gen 0121 | Mejor fitness: 0.810396 | Promedio: 0.809890
[2026-05-13 12:47:47] Gen 0122 | Mejor fitness: 0.810396 | Promedio: 0.809845
[2026-05-13 12:47:47] Gen 0123 | Mejor fitness: 0.810396 | Promedio: 0.810006
[2026-05-13 12:47:47] Gen 0124 | Mejor fitness: 0.810396 | Promedio: 0.809815
[2026-05-13 12:47:47] Gen 0125 | Mejor fitness: 0.810396 | Promedio: 0.809932
[2026-05-13 12:47:47] Gen 0126 | Mejor fitness: 0.810396 | Promedio: 0.809631
[2026-05-13 12:47:47] Gen 0127 | Mejor fitness: 0.810396 | Promedio: 0.809494
[2026-05-13 12:47:47] Gen 0128 | Mejor fitness: 0.810396 | Promedio: 0.809773
[2026-05-13 12:47:47] Gen 0129 | Mejor fitness: 0.810396 | Promedio: 0.809585
[2026-05-13 12:47:47] Gen 0130 | Mejor fitness: 0.810396 | Promedio: 0.809898
[2026-05-13 12:47:47] Gen 0131 | Mejor fitness: 0.810396 | Promedio: 0.809734
[2026-05-13 12:47:47] Gen 0132 | Mejor fitness: 0.810396 | Promedio: 0.809771
[2026-05-13 12:47:47] Gen 0133 | Mejor fitness: 0.810396 | Promedio: 0.809818
[2026-05-13 12:47:47] Gen 0134 | Mejor fitness: 0.810396 | Promedio: 0.809806
[2026-05-13 12:47:47] Gen 0135 | Mejor fitness: 0.810396 | Promedio: 0.809875
[2026-05-13 12:47:47] Gen 0136 | Mejor fitness: 0.810396 | Promedio: 0.809819
[2026-05-13 12:47:47] Gen 0137 | Mejor fitness: 0.810396 | Promedio: 0.809805
[2026-05-13 12:47:47] Gen 0138 | Mejor fitness: 0.810396 | Promedio: 0.810006
[2026-05-13 12:47:47] Gen 0139 | Mejor fitness: 0.810396 | Promedio: 0.809827
[2026-05-13 12:47:47] Gen 0140 | Mejor fitness: 0.810396 | Promedio: 0.809646
[2026-05-13 12:47:47] Gen 0141 | Mejor fitness: 0.810396 | Promedio: 0.809702
[2026-05-13 12:47:47] Gen 0142 | Mejor fitness: 0.810396 | Promedio: 0.809816
[2026-05-13 12:47:47] Gen 0143 | Mejor fitness: 0.810396 | Promedio: 0.809678
[2026-05-13 12:47:47] Gen 0144 | Mejor fitness: 0.810396 | Promedio: 0.809731
[2026-05-13 12:47:47] Gen 0145 | Mejor fitness: 0.810396 | Promedio: 0.809802
[2026-05-13 12:47:47] Gen 0146 | Mejor fitness: 0.810396 | Promedio: 0.810015
[2026-05-13 12:47:47] Gen 0147 | Mejor fitness: 0.810396 | Promedio: 0.809661
[2026-05-13 12:47:47] Gen 0148 | Mejor fitness: 0.810396 | Promedio: 0.809756
[2026-05-13 12:47:47] Gen 0149 | Mejor fitness: 0.810396 | Promedio: 0.809777
[2026-05-13 12:47:47] Gen 0150 | Mejor fitness: 0.810396 | Promedio: 0.809883
[2026-05-13 12:47:47] Gen 0151 | Mejor fitness: 0.810396 | Promedio: 0.809833
[2026-05-13 12:47:47] Gen 0152 | Mejor fitness: 0.810396 | Promedio: 0.809717
[2026-05-13 12:47:47] Gen 0153 | Mejor fitness: 0.810396 | Promedio: 0.810023
[2026-05-13 12:47:47] Gen 0154 | Mejor fitness: 0.810397 | Promedio: 0.809890
[2026-05-13 12:47:47] Gen 0155 | Mejor fitness: 0.810397 | Promedio: 0.809667
[2026-05-13 12:47:47] Gen 0156 | Mejor fitness: 0.810397 | Promedio: 0.809874
[2026-05-13 12:47:47] Gen 0157 | Mejor fitness: 0.810397 | Promedio: 0.809827
[2026-05-13 12:47:47] Gen 0158 | Mejor fitness: 0.810397 | Promedio: 0.809741
[2026-05-13 12:47:47] Gen 0159 | Mejor fitness: 0.810397 | Promedio: 0.809912
[2026-05-13 12:47:47] Gen 0160 | Mejor fitness: 0.810397 | Promedio: 0.809760
[2026-05-13 12:47:47] Gen 0161 | Mejor fitness: 0.810397 | Promedio: 0.809594
[2026-05-13 12:47:47] Gen 0162 | Mejor fitness: 0.810397 | Promedio: 0.809751
[2026-05-13 12:47:47] Gen 0163 | Mejor fitness: 0.810397 | Promedio: 0.809683
[2026-05-13 12:47:47] Gen 0164 | Mejor fitness: 0.810397 | Promedio: 0.809534
[2026-05-13 12:47:47] Gen 0165 | Mejor fitness: 0.810397 | Promedio: 0.809701
[2026-05-13 12:47:47] Gen 0166 | Mejor fitness: 0.810397 | Promedio: 0.809813
[2026-05-13 12:47:47] Gen 0167 | Mejor fitness: 0.810397 | Promedio: 0.809667
[2026-05-13 12:47:47] Gen 0168 | Mejor fitness: 0.810397 | Promedio: 0.809779
[2026-05-13 12:47:47] Gen 0169 | Mejor fitness: 0.810397 | Promedio: 0.809885
[2026-05-13 12:47:47] Gen 0170 | Mejor fitness: 0.810397 | Promedio: 0.809984
[2026-05-13 12:47:47] Gen 0171 | Mejor fitness: 0.810397 | Promedio: 0.809832
[2026-05-13 12:47:47] Gen 0172 | Mejor fitness: 0.810397 | Promedio: 0.809899
[2026-05-13 12:47:47] Gen 0173 | Mejor fitness: 0.810397 | Promedio: 0.809838
[2026-05-13 12:47:47] Gen 0174 | Mejor fitness: 0.810397 | Promedio: 0.809619
[2026-05-13 12:47:47] Gen 0175 | Mejor fitness: 0.810397 | Promedio: 0.809860
[2026-05-13 12:47:47] Gen 0176 | Mejor fitness: 0.810397 | Promedio: 0.809806
[2026-05-13 12:47:47] Gen 0177 | Mejor fitness: 0.810397 | Promedio: 0.809803
[2026-05-13 12:47:47] Gen 0178 | Mejor fitness: 0.810397 | Promedio: 0.809984
[2026-05-13 12:47:47] Gen 0179 | Mejor fitness: 0.810397 | Promedio: 0.809898
[2026-05-13 12:47:47] Gen 0180 | Mejor fitness: 0.810397 | Promedio: 0.809617
[2026-05-13 12:47:47] Gen 0181 | Mejor fitness: 0.810397 | Promedio: 0.809877
[2026-05-13 12:47:47] Gen 0182 | Mejor fitness: 0.810397 | Promedio: 0.809894
[2026-05-13 12:47:47] Gen 0183 | Mejor fitness: 0.810397 | Promedio: 0.809936
[2026-05-13 12:47:47] Gen 0184 | Mejor fitness: 0.810397 | Promedio: 0.810026
[2026-05-13 12:47:47] Gen 0185 | Mejor fitness: 0.810397 | Promedio: 0.809824
[2026-05-13 12:47:47] Gen 0186 | Mejor fitness: 0.810397 | Promedio: 0.809868
[2026-05-13 12:47:47] Gen 0187 | Mejor fitness: 0.810397 | Promedio: 0.809960
[2026-05-13 12:47:47] Gen 0188 | Mejor fitness: 0.810397 | Promedio: 0.809842
[2026-05-13 12:47:47] Gen 0189 | Mejor fitness: 0.810397 | Promedio: 0.809977
[2026-05-13 12:47:47] Gen 0190 | Mejor fitness: 0.810397 | Promedio: 0.809661
[2026-05-13 12:47:47] Gen 0191 | Mejor fitness: 0.810397 | Promedio: 0.809817
[2026-05-13 12:47:47] Gen 0192 | Mejor fitness: 0.810397 | Promedio: 0.809702
[2026-05-13 12:47:47] Gen 0193 | Mejor fitness: 0.810397 | Promedio: 0.809808
[2026-05-13 12:47:47] Gen 0194 | Mejor fitness: 0.810397 | Promedio: 0.809846
[2026-05-13 12:47:47] Gen 0195 | Mejor fitness: 0.810397 | Promedio: 0.809609
[2026-05-13 12:47:47] Gen 0196 | Mejor fitness: 0.810397 | Promedio: 0.809911
[2026-05-13 12:47:47] Gen 0197 | Mejor fitness: 0.810397 | Promedio: 0.809774
[2026-05-13 12:47:47] Gen 0198 | Mejor fitness: 0.810397 | Promedio: 0.809684
[2026-05-13 12:47:47] Gen 0199 | Mejor fitness: 0.810397 | Promedio: 0.809733
[2026-05-13 12:47:47] Gen 0200 | Mejor fitness: 0.810397 | Promedio: 0.809745
[2026-05-13 12:47:47] Gen 0201 | Mejor fitness: 0.810397 | Promedio: 0.809588
[2026-05-13 12:47:47] Gen 0202 | Mejor fitness: 0.810397 | Promedio: 0.809938
[2026-05-13 12:47:47] Gen 0203 | Mejor fitness: 0.810397 | Promedio: 0.809864
[2026-05-13 12:47:47] Gen 0204 | Mejor fitness: 0.810397 | Promedio: 0.809671
[2026-05-13 12:47:47] Gen 0205 | Mejor fitness: 0.810397 | Promedio: 0.809967
[2026-05-13 12:47:47] Gen 0206 | Mejor fitness: 0.810397 | Promedio: 0.809702
[2026-05-13 12:47:47] Gen 0207 | Mejor fitness: 0.810397 | Promedio: 0.809806
[2026-05-13 12:47:47] Gen 0208 | Mejor fitness: 0.810397 | Promedio: 0.809544
[2026-05-13 12:47:47] Gen 0209 | Mejor fitness: 0.810397 | Promedio: 0.809620
[2026-05-13 12:47:47] Gen 0210 | Mejor fitness: 0.810397 | Promedio: 0.809735
[2026-05-13 12:47:47] Gen 0211 | Mejor fitness: 0.810397 | Promedio: 0.809841
[2026-05-13 12:47:47] Gen 0212 | Mejor fitness: 0.810397 | Promedio: 0.809898
[2026-05-13 12:47:47] Gen 0213 | Mejor fitness: 0.810397 | Promedio: 0.809915
[2026-05-13 12:47:47] Gen 0214 | Mejor fitness: 0.810397 | Promedio: 0.809951
[2026-05-13 12:47:47] Gen 0215 | Mejor fitness: 0.810397 | Promedio: 0.809992
[2026-05-13 12:47:47] Gen 0216 | Mejor fitness: 0.810397 | Promedio: 0.809919
[2026-05-13 12:47:47] Gen 0217 | Mejor fitness: 0.810397 | Promedio: 0.809752
[2026-05-13 12:47:47] Gen 0218 | Mejor fitness: 0.810397 | Promedio: 0.809868
[2026-05-13 12:47:47] Gen 0219 | Mejor fitness: 0.810397 | Promedio: 0.809783
[2026-05-13 12:47:47] Gen 0220 | Mejor fitness: 0.810397 | Promedio: 0.810029
[2026-05-13 12:47:47] Gen 0221 | Mejor fitness: 0.810397 | Promedio: 0.809822
[2026-05-13 12:47:47] Gen 0222 | Mejor fitness: 0.810397 | Promedio: 0.809993
[2026-05-13 12:47:47] Gen 0223 | Mejor fitness: 0.810397 | Promedio: 0.809625
[2026-05-13 12:47:47] Gen 0224 | Mejor fitness: 0.810397 | Promedio: 0.810035
[2026-05-13 12:47:47] Gen 0225 | Mejor fitness: 0.810397 | Promedio: 0.809822
[2026-05-13 12:47:47] Gen 0226 | Mejor fitness: 0.810397 | Promedio: 0.809853
