[2026-05-14 15:18:03] =======================================================
[2026-05-14 15:18:03] NUEVA EJECUCIÓN
[2026-05-14 15:18:03] Material          : PLA
[2026-05-14 15:18:03] Perfil            : Rápido
[2026-05-14 15:18:03] Tamaño población  : 400
[2026-05-14 15:18:03] Generaciones      : 1000
[2026-05-14 15:18:03] Tasa cruce        : 0.8
[2026-05-14 15:18:03] Tasa mutación     : 0.1
[2026-05-14 15:18:03] Torneo K          : 3
[2026-05-14 15:18:03] --- Evolución ---
[2026-05-14 15:18:03] Gen 0001 | Mejor fitness: 0.884932 | Promedio: 0.828840
[2026-05-14 15:18:03] Gen 0002 | Mejor fitness: 0.886549 | Promedio: 0.855380
[2026-05-14 15:18:03] Gen 0003 | Mejor fitness: 0.892613 | Promedio: 0.867978
[2026-05-14 15:18:03] Gen 0004 | Mejor fitness: 0.893310 | Promedio: 0.876437
[2026-05-14 15:18:03] Gen 0005 | Mejor fitness: 0.895455 | Promedio: 0.882534
[2026-05-14 15:18:03] Gen 0006 | Mejor fitness: 0.895455 | Promedio: 0.886963
[2026-05-14 15:18:03] Gen 0007 | Mejor fitness: 0.896559 | Promedio: 0.890280
[2026-05-14 15:18:03] Gen 0008 | Mejor fitness: 0.896964 | Promedio: 0.892838
[2026-05-14 15:18:03] Gen 0009 | Mejor fitness: 0.897147 | Promedio: 0.894197
[2026-05-14 15:18:03] Gen 0010 | Mejor fitness: 0.897317 | Promedio: 0.895387
[2026-05-14 15:18:03] Gen 0011 | Mejor fitness: 0.897317 | Promedio: 0.895956
[2026-05-14 15:18:03] Gen 0012 | Mejor fitness: 0.897397 | Promedio: 0.896418
[2026-05-14 15:18:03] Gen 0013 | Mejor fitness: 0.897510 | Promedio: 0.896687
[2026-05-14 15:18:03] Gen 0014 | Mejor fitness: 0.897547 | Promedio: 0.896920
[2026-05-14 15:18:03] Gen 0015 | Mejor fitness: 0.897552 | Promedio: 0.897049
[2026-05-14 15:18:03] Gen 0016 | Mejor fitness: 0.897607 | Promedio: 0.897090
[2026-05-14 15:18:03] Gen 0017 | Mejor fitness: 0.897608 | Promedio: 0.897181
[2026-05-14 15:18:03] Gen 0018 | Mejor fitness: 0.897655 | Promedio: 0.897240
[2026-05-14 15:18:03] Gen 0019 | Mejor fitness: 0.897655 | Promedio: 0.897244
[2026-05-14 15:18:03] Gen 0020 | Mejor fitness: 0.897659 | Promedio: 0.897245
[2026-05-14 15:18:03] Gen 0021 | Mejor fitness: 0.897665 | Promedio: 0.897334
[2026-05-14 15:18:03] Gen 0022 | Mejor fitness: 0.897671 | Promedio: 0.897445
