[2026-05-13 12:47:40] =======================================================
[2026-05-13 12:47:40] NUEVA EJECUCIÓN
[2026-05-13 12:47:40] Material          : PLA
[2026-05-13 12:47:40] Perfil            : Rápido
[2026-05-13 12:47:40] Tamaño población  : 200
[2026-05-13 12:47:40] Generaciones      : 500
[2026-05-13 12:47:40] Tasa cruce        : 0.8
[2026-05-13 12:47:40] Tasa mutación     : 0.1
[2026-05-13 12:47:40] Torneo K          : 3
[2026-05-13 12:47:40] --- Evolución ---
[2026-05-13 12:47:40] Gen 0001 | Mejor fitness: 0.862926 | Promedio: 0.799262
[2026-05-13 12:47:40] Gen 0002 | Mejor fitness: 0.867753 | Promedio: 0.838272
[2026-05-13 12:47:40] Gen 0003 | Mejor fitness: 0.877453 | Promedio: 0.849968
[2026-05-13 12:47:40] Gen 0004 | Mejor fitness: 0.880495 | Promedio: 0.857395
[2026-05-13 12:47:40] Gen 0005 | Mejor fitness: 0.880507 | Promedio: 0.864510
[2026-05-13 12:47:40] Gen 0006 | Mejor fitness: 0.882091 | Promedio: 0.872554
[2026-05-13 12:47:40] Gen 0007 | Mejor fitness: 0.882780 | Promedio: 0.877586
[2026-05-13 12:47:40] Gen 0008 | Mejor fitness: 0.882832 | Promedio: 0.879804
[2026-05-13 12:47:40] Gen 0009 | Mejor fitness: 0.883099 | Promedio: 0.880825
[2026-05-13 12:47:40] Gen 0010 | Mejor fitness: 0.883175 | Promedio: 0.881590
[2026-05-13 12:47:40] Gen 0011 | Mejor fitness: 0.883454 | Promedio: 0.882223
[2026-05-13 12:47:40] Gen 0012 | Mejor fitness: 0.883522 | Promedio: 0.882527
[2026-05-13 12:47:40] Gen 0013 | Mejor fitness: 0.883525 | Promedio: 0.882856
[2026-05-13 12:47:40] Gen 0014 | Mejor fitness: 0.883556 | Promedio: 0.882950
[2026-05-13 12:47:40] Gen 0015 | Mejor fitness: 0.883556 | Promedio: 0.883036
[2026-05-13 12:47:40] Gen 0016 | Mejor fitness: 0.883564 | Promedio: 0.883314
[2026-05-13 12:47:40] Gen 0017 | Mejor fitness: 0.883566 | Promedio: 0.883207
[2026-05-13 12:47:40] Gen 0018 | Mejor fitness: 0.883566 | Promedio: 0.883326
[2026-05-13 12:47:40] Gen 0019 | Mejor fitness: 0.883566 | Promedio: 0.883356
[2026-05-13 12:47:40] Gen 0020 | Mejor fitness: 0.883566 | Promedio: 0.883311
[2026-05-13 12:47:40] Gen 0021 | Mejor fitness: 0.883568 | Promedio: 0.883226
[2026-05-13 12:47:40] Gen 0022 | Mejor fitness: 0.883568 | Promedio: 0.883289
[2026-05-13 12:47:40] Gen 0023 | Mejor fitness: 0.883568 | Promedio: 0.883238
[2026-05-13 12:47:40] Gen 0024 | Mejor fitness: 0.883568 | Promedio: 0.883276
[2026-05-13 12:47:40] Gen 0025 | Mejor fitness: 0.883568 | Promedio: 0.883251
[2026-05-13 12:47:40] Gen 0026 | Mejor fitness: 0.883568 | Promedio: 0.883246
[2026-05-13 12:47:40] Gen 0027 | Mejor fitness: 0.883568 | Promedio: 0.883330
[2026-05-13 12:47:40] Gen 0028 | Mejor fitness: 0.883568 | Promedio: 0.883305
[2026-05-13 12:47:40] Gen 0029 | Mejor fitness: 0.883568 | Promedio: 0.883261
[2026-05-13 12:47:40] Gen 0030 | Mejor fitness: 0.883568 | Promedio: 0.883224
[2026-05-13 12:47:40] Gen 0031 | Mejor fitness: 0.883569 | Promedio: 0.883365
[2026-05-13 12:47:40] Gen 0032 | Mejor fitness: 0.883569 | Promedio: 0.883265
[2026-05-13 12:47:40] Gen 0033 | Mejor fitness: 0.883570 | Promedio: 0.883210
[2026-05-13 12:47:40] Gen 0034 | Mejor fitness: 0.883570 | Promedio: 0.883245
[2026-05-13 12:47:40] Gen 0035 | Mejor fitness: 0.883570 | Promedio: 0.883223
[2026-05-13 12:47:40] Gen 0036 | Mejor fitness: 0.883570 | Promedio: 0.883282
[2026-05-13 12:47:40] Gen 0037 | Mejor fitness: 0.883570 | Promedio: 0.883387
[2026-05-13 12:47:40] Gen 0038 | Mejor fitness: 0.883570 | Promedio: 0.883419
[2026-05-13 12:47:40] Gen 0039 | Mejor fitness: 0.883570 | Promedio: 0.883308
[2026-05-13 12:47:40] Gen 0040 | Mejor fitness: 0.883570 | Promedio: 0.883178
[2026-05-13 12:47:40] Gen 0041 | Mejor fitness: 0.883570 | Promedio: 0.883315
[2026-05-13 12:47:40] Gen 0042 | Mejor fitness: 0.883570 | Promedio: 0.883261
[2026-05-13 12:47:40] Gen 0043 | Mejor fitness: 0.883570 | Promedio: 0.883216
[2026-05-13 12:47:40] Gen 0044 | Mejor fitness: 0.883570 | Promedio: 0.883120
[2026-05-13 12:47:40] Gen 0045 | Mejor fitness: 0.883570 | Promedio: 0.883395
