[2026-05-14 15:30:17] =======================================================
[2026-05-14 15:30:17] NUEVA EJECUCIÓN
[2026-05-14 15:30:17] Material          : PLA
[2026-05-14 15:30:17] Perfil            : Rápido
[2026-05-14 15:30:17] Tamaño población  : 400
[2026-05-14 15:30:17] Generaciones      : 1000
[2026-05-14 15:30:17] Tasa cruce        : 0.8
[2026-05-14 15:30:17] Tasa mutación     : 0.1
[2026-05-14 15:30:17] Torneo K          : 3
[2026-05-14 15:30:17] --- Evolución ---
[2026-05-14 15:30:18] Gen 0062 | Mejor fitness: 0.892824 | Promedio: 0.892613
[2026-05-14 15:30:18] Gen 0063 | Mejor fitness: 0.892824 | Promedio: 0.892560
[2026-05-14 15:30:18] Gen 0064 | Mejor fitness: 0.892824 | Promedio: 0.892569
[2026-05-14 15:30:18] Gen 0065 | Mejor fitness: 0.892824 | Promedio: 0.892502
[2026-05-14 15:30:18] Gen 0066 | Mejor fitness: 0.892824 | Promedio: 0.892615
[2026-05-14 15:30:18] Gen 0067 | Mejor fitness: 0.892824 | Promedio: 0.892596
[2026-05-14 15:30:18] Gen 0068 | Mejor fitness: 0.892824 | Promedio: 0.892635
[2026-05-14 15:30:18] Gen 0069 | Mejor fitness: 0.892824 | Promedio: 0.892555
[2026-05-14 15:30:18] Gen 0070 | Mejor fitness: 0.892824 | Promedio: 0.892517
[2026-05-14 15:30:18] Gen 0071 | Mejor fitness: 0.892824 | Promedio: 0.892594
[2026-05-14 15:30:18] Gen 0072 | Mejor fitness: 0.892824 | Promedio: 0.892504
[2026-05-14 15:30:18] Gen 0073 | Mejor fitness: 0.892824 | Promedio: 0.892576
[2026-05-14 15:30:18] Gen 0074 | Mejor fitness: 0.892824 | Promedio: 0.892571
[2026-05-14 15:30:18] Gen 0075 | Mejor fitness: 0.892824 | Promedio: 0.892448
[2026-05-14 15:30:18] Gen 0076 | Mejor fitness: 0.892824 | Promedio: 0.892584
[2026-05-14 15:30:18] Gen 0077 | Mejor fitness: 0.892824 | Promedio: 0.892597
[2026-05-14 15:30:18] Gen 0078 | Mejor fitness: 0.892824 | Promedio: 0.892624
[2026-05-14 15:30:18] Gen 0079 | Mejor fitness: 0.892824 | Promedio: 0.892565
[2026-05-14 15:30:18] Gen 0080 | Mejor fitness: 0.892824 | Promedio: 0.892636
[2026-05-14 15:30:18] Gen 0081 | Mejor fitness: 0.892824 | Promedio: 0.892478
[2026-05-14 15:30:18] Gen 0082 | Mejor fitness: 0.892824 | Promedio: 0.892641
[2026-05-14 15:30:18] Gen 0083 | Mejor fitness: 0.892824 | Promedio: 0.892561
[2026-05-14 15:30:18] Gen 0084 | Mejor fitness: 0.892824 | Promedio: 0.892581
[2026-05-14 15:30:18] Gen 0085 | Mejor fitness: 0.892824 | Promedio: 0.892633
[2026-05-14 15:30:18] Gen 0086 | Mejor fitness: 0.892824 | Promedio: 0.892614
[2026-05-14 15:30:18] Gen 0087 | Mejor fitness: 0.892824 | Promedio: 0.892516
[2026-05-14 15:30:18] Gen 0088 | Mejor fitness: 0.892824 | Promedio: 0.892604
[2026-05-14 15:30:18] Gen 0089 | Mejor fitness: 0.892824 | Promedio: 0.892609
[2026-05-14 15:30:18] Gen 0090 | Mejor fitness: 0.892824 | Promedio: 0.892470
[2026-05-14 15:30:18] Gen 0091 | Mejor fitness: 0.892824 | Promedio: 0.892545
[2026-05-14 15:30:18] Gen 0092 | Mejor fitness: 0.892824 | Promedio: 0.892545
[2026-05-14 15:30:18] Gen 0093 | Mejor fitness: 0.892824 | Promedio: 0.892555
[2026-05-14 15:30:18] Gen 0094 | Mejor fitness: 0.892824 | Promedio: 0.892609
[2026-05-14 15:30:18] Gen 0095 | Mejor fitness: 0.892824 | Promedio: 0.892523
[2026-05-14 15:30:18] Gen 0096 | Mejor fitness: 0.892824 | Promedio: 0.892584
[2026-05-14 15:30:18] Gen 0097 | Mejor fitness: 0.892824 | Promedio: 0.892549
[2026-05-14 15:30:18] Gen 0098 | Mejor fitness: 0.892824 | Promedio: 0.892581
[2026-05-14 15:30:18] Gen 0099 | Mejor fitness: 0.892824 | Promedio: 0.892468
[2026-05-14 15:30:18] Gen 0100 | Mejor fitness: 0.892824 | Promedio: 0.892641
[2026-05-14 15:30:18] Gen 0101 | Mejor fitness: 0.892824 | Promedio: 0.892514
[2026-05-14 15:30:18] Gen 0102 | Mejor fitness: 0.892824 | Promedio: 0.892625
[2026-05-14 15:30:18] Gen 0103 | Mejor fitness: 0.892824 | Promedio: 0.892565
[2026-05-14 15:30:18] Gen 0104 | Mejor fitness: 0.892824 | Promedio: 0.892560
[2026-05-14 15:30:18] Gen 0105 | Mejor fitness: 0.892824 | Promedio: 0.892584
[2026-05-14 15:30:18] Gen 0106 | Mejor fitness: 0.892824 | Promedio: 0.892542
[2026-05-14 15:30:18] Gen 0107 | Mejor fitness: 0.892824 | Promedio: 0.892608
[2026-05-14 15:30:18] Gen 0108 | Mejor fitness: 0.892824 | Promedio: 0.892570
[2026-05-14 15:30:18] Gen 0109 | Mejor fitness: 0.892824 | Promedio: 0.892494
[2026-05-14 15:30:18] Gen 0110 | Mejor fitness: 0.892824 | Promedio: 0.892477
[2026-05-14 15:30:18] Gen 0111 | Mejor fitness: 0.892824 | Promedio: 0.892549
[2026-05-14 15:30:18] Gen 0112 | Mejor fitness: 0.892824 | Promedio: 0.892536
[2026-05-14 15:30:18] Gen 0113 | Mejor fitness: 0.892824 | Promedio: 0.892577
[2026-05-14 15:30:18] Gen 0114 | Mejor fitness: 0.892824 | Promedio: 0.892542
[2026-05-14 15:30:18] Gen 0115 | Mejor fitness: 0.892824 | Promedio: 0.892510
[2026-05-14 15:30:18] Gen 0116 | Mejor fitness: 0.892824 | Promedio: 0.892559
[2026-05-14 15:30:18] Gen 0117 | Mejor fitness: 0.892824 | Promedio: 0.892545
[2026-05-14 15:30:18] Gen 0118 | Mejor fitness: 0.892824 | Promedio: 0.892538
[2026-05-14 15:30:18] Gen 0119 | Mejor fitness: 0.892824 | Promedio: 0.892604
[2026-05-14 15:30:18] Gen 0120 | Mejor fitness: 0.892824 | Promedio: 0.892551
[2026-05-14 15:30:18] Gen 0121 | Mejor fitness: 0.892824 | Promedio: 0.892610
[2026-05-14 15:30:18] Gen 0122 | Mejor fitness: 0.892824 | Promedio: 0.892568
[2026-05-14 15:30:18] Gen 0123 | Mejor fitness: 0.892824 | Promedio: 0.892530
[2026-05-14 15:30:18] Gen 0124 | Mejor fitness: 0.892824 | Promedio: 0.892530
[2026-05-14 15:30:18] Gen 0125 | Mejor fitness: 0.892824 | Promedio: 0.892596
[2026-05-14 15:30:18] Gen 0126 | Mejor fitness: 0.892824 | Promedio: 0.892539
[2026-05-14 15:30:18] Gen 0127 | Mejor fitness: 0.892824 | Promedio: 0.892606
[2026-05-14 15:30:18] Gen 0128 | Mejor fitness: 0.892824 | Promedio: 0.892456
[2026-05-14 15:30:18] Gen 0129 | Mejor fitness: 0.892824 | Promedio: 0.892618
