[2026-05-13 12:48:34] =======================================================
[2026-05-13 12:48:34] NUEVA EJECUCIÓN
[2026-05-13 12:48:34] Material          : ABS
[2026-05-13 12:48:34] Perfil            : Rápido
[2026-05-13 12:48:34] Tamaño población  : 200
[2026-05-13 12:48:34] Generaciones      : 500
[2026-05-13 12:48:34] Tasa cruce        : 0.8
[2026-05-13 12:48:34] Tasa mutación     : 0.1
[2026-05-13 12:48:34] Torneo K          : 3
[2026-05-13 12:48:34] --- Evolución ---
[2026-05-13 12:48:34] Gen 0001 | Mejor fitness: 0.863186 | Promedio: 0.799237
[2026-05-13 12:48:34] Gen 0002 | Mejor fitness: 0.865153 | Promedio: 0.836305
[2026-05-13 12:48:34] Gen 0003 | Mejor fitness: 0.871721 | Promedio: 0.852053
[2026-05-13 12:48:34] Gen 0004 | Mejor fitness: 0.874240 | Promedio: 0.860341
[2026-05-13 12:48:34] Gen 0005 | Mejor fitness: 0.877550 | Promedio: 0.865606
[2026-05-13 12:48:34] Gen 0006 | Mejor fitness: 0.880217 | Promedio: 0.869830
[2026-05-13 12:48:34] Gen 0007 | Mejor fitness: 0.881011 | Promedio: 0.873415
[2026-05-13 12:48:34] Gen 0008 | Mejor fitness: 0.881846 | Promedio: 0.876192
[2026-05-13 12:48:34] Gen 0009 | Mejor fitness: 0.882525 | Promedio: 0.878490
[2026-05-13 12:48:34] Gen 0010 | Mejor fitness: 0.882542 | Promedio: 0.879971
[2026-05-13 12:48:34] Gen 0011 | Mejor fitness: 0.883209 | Promedio: 0.880964
[2026-05-13 12:48:34] Gen 0012 | Mejor fitness: 0.883265 | Promedio: 0.881607
[2026-05-13 12:48:34] Gen 0013 | Mejor fitness: 0.883444 | Promedio: 0.882142
[2026-05-13 12:48:34] Gen 0014 | Mejor fitness: 0.883661 | Promedio: 0.882558
[2026-05-13 12:48:34] Gen 0015 | Mejor fitness: 0.883721 | Promedio: 0.882905
[2026-05-13 12:48:34] Gen 0016 | Mejor fitness: 0.883721 | Promedio: 0.883182
[2026-05-13 12:48:34] Gen 0017 | Mejor fitness: 0.883774 | Promedio: 0.883170
[2026-05-13 12:48:34] Gen 0018 | Mejor fitness: 0.883817 | Promedio: 0.883199
[2026-05-13 12:48:34] Gen 0019 | Mejor fitness: 0.883830 | Promedio: 0.883490
[2026-05-13 12:48:34] Gen 0020 | Mejor fitness: 0.883864 | Promedio: 0.883366
[2026-05-13 12:48:34] Gen 0021 | Mejor fitness: 0.883864 | Promedio: 0.883569
[2026-05-13 12:48:34] Gen 0022 | Mejor fitness: 0.883875 | Promedio: 0.883640
[2026-05-13 12:48:34] Gen 0023 | Mejor fitness: 0.883881 | Promedio: 0.883600
[2026-05-13 12:48:34] Gen 0024 | Mejor fitness: 0.883882 | Promedio: 0.883553
[2026-05-13 12:48:34] Gen 0025 | Mejor fitness: 0.883886 | Promedio: 0.883536
[2026-05-13 12:48:34] Gen 0026 | Mejor fitness: 0.883886 | Promedio: 0.883665
[2026-05-13 12:48:34] Gen 0027 | Mejor fitness: 0.883887 | Promedio: 0.883598
[2026-05-13 12:48:34] Gen 0028 | Mejor fitness: 0.883887 | Promedio: 0.883652
[2026-05-13 12:48:34] Gen 0029 | Mejor fitness: 0.883887 | Promedio: 0.883638
[2026-05-13 12:48:34] Gen 0030 | Mejor fitness: 0.883888 | Promedio: 0.883597
[2026-05-13 12:48:34] Gen 0031 | Mejor fitness: 0.883888 | Promedio: 0.883533
[2026-05-13 12:48:34] Gen 0032 | Mejor fitness: 0.883888 | Promedio: 0.883665
[2026-05-13 12:48:34] Gen 0033 | Mejor fitness: 0.883888 | Promedio: 0.883715
[2026-05-13 12:48:34] Gen 0034 | Mejor fitness: 0.883888 | Promedio: 0.883714
[2026-05-13 12:48:34] Gen 0035 | Mejor fitness: 0.883888 | Promedio: 0.883755
[2026-05-13 12:48:34] Gen 0036 | Mejor fitness: 0.883888 | Promedio: 0.883699
[2026-05-13 12:48:34] Gen 0037 | Mejor fitness: 0.883890 | Promedio: 0.883693
[2026-05-13 12:48:34] Gen 0038 | Mejor fitness: 0.883890 | Promedio: 0.883587
[2026-05-13 12:48:34] Gen 0039 | Mejor fitness: 0.883890 | Promedio: 0.883710
[2026-05-13 12:48:34] Gen 0040 | Mejor fitness: 0.883890 | Promedio: 0.883589
[2026-05-13 12:48:34] Gen 0041 | Mejor fitness: 0.883890 | Promedio: 0.883645
[2026-05-13 12:48:34] Gen 0042 | Mejor fitness: 0.883890 | Promedio: 0.883538
[2026-05-13 12:48:34] Gen 0043 | Mejor fitness: 0.883890 | Promedio: 0.883639
[2026-05-13 12:48:34] Gen 0044 | Mejor fitness: 0.883890 | Promedio: 0.883468
[2026-05-13 12:48:34] Gen 0045 | Mejor fitness: 0.883890 | Promedio: 0.883553
[2026-05-13 12:48:34] Gen 0046 | Mejor fitness: 0.883890 | Promedio: 0.883710
[2026-05-13 12:48:34] Gen 0047 | Mejor fitness: 0.883890 | Promedio: 0.883660
[2026-05-13 12:48:34] Gen 0048 | Mejor fitness: 0.883890 | Promedio: 0.883683
[2026-05-13 12:48:34] Gen 0049 | Mejor fitness: 0.883890 | Promedio: 0.883524
