[2026-05-14 15:18:19] =======================================================
[2026-05-14 15:18:19] NUEVA EJECUCIÓN
[2026-05-14 15:18:19] Material          : PLA
[2026-05-14 15:18:19] Perfil            : Funcional
[2026-05-14 15:18:19] Tamaño población  : 400
[2026-05-14 15:18:19] Generaciones      : 1000
[2026-05-14 15:18:19] Tasa cruce        : 0.8
[2026-05-14 15:18:19] Tasa mutación     : 0.1
[2026-05-14 15:18:19] Torneo K          : 3
[2026-05-14 15:18:19] --- Evolución ---
[2026-05-14 15:18:19] Gen 0001 | Mejor fitness: 0.807037 | Promedio: 0.701421
[2026-05-14 15:18:19] Gen 0002 | Mejor fitness: 0.809363 | Promedio: 0.749286
[2026-05-14 15:18:19] Gen 0003 | Mejor fitness: 0.813710 | Promedio: 0.770709
[2026-05-14 15:18:19] Gen 0004 | Mejor fitness: 0.813710 | Promedio: 0.785726
[2026-05-14 15:18:19] Gen 0005 | Mejor fitness: 0.815353 | Promedio: 0.797232
[2026-05-14 15:18:19] Gen 0006 | Mejor fitness: 0.821010 | Promedio: 0.805089
[2026-05-14 15:18:19] Gen 0007 | Mejor fitness: 0.821573 | Promedio: 0.809888
[2026-05-14 15:18:19] Gen 0008 | Mejor fitness: 0.823136 | Promedio: 0.813978
[2026-05-14 15:18:19] Gen 0009 | Mejor fitness: 0.824335 | Promedio: 0.817129
[2026-05-14 15:18:19] Gen 0010 | Mejor fitness: 0.825234 | Promedio: 0.819594
[2026-05-14 15:18:19] Gen 0011 | Mejor fitness: 0.825234 | Promedio: 0.821318
[2026-05-14 15:18:19] Gen 0012 | Mejor fitness: 0.825278 | Promedio: 0.822424
[2026-05-14 15:18:19] Gen 0013 | Mejor fitness: 0.825367 | Promedio: 0.823397
[2026-05-14 15:18:19] Gen 0014 | Mejor fitness: 0.825367 | Promedio: 0.823783
[2026-05-14 15:18:19] Gen 0015 | Mejor fitness: 0.825380 | Promedio: 0.824310
[2026-05-14 15:18:19] Gen 0016 | Mejor fitness: 0.825380 | Promedio: 0.824545
[2026-05-14 15:18:19] Gen 0017 | Mejor fitness: 0.825380 | Promedio: 0.824672
[2026-05-14 15:18:19] Gen 0018 | Mejor fitness: 0.825387 | Promedio: 0.824539
[2026-05-14 15:18:19] Gen 0019 | Mejor fitness: 0.825387 | Promedio: 0.824659
[2026-05-14 15:18:19] Gen 0020 | Mejor fitness: 0.825387 | Promedio: 0.824715
[2026-05-14 15:18:19] Gen 0021 | Mejor fitness: 0.825387 | Promedio: 0.824876
[2026-05-14 15:18:19] Gen 0022 | Mejor fitness: 0.825387 | Promedio: 0.824757
[2026-05-14 15:18:19] Gen 0023 | Mejor fitness: 0.825387 | Promedio: 0.824745
[2026-05-14 15:18:19] Gen 0024 | Mejor fitness: 0.825387 | Promedio: 0.824731
[2026-05-14 15:18:19] Gen 0025 | Mejor fitness: 0.825387 | Promedio: 0.824564
[2026-05-14 15:18:19] Gen 0026 | Mejor fitness: 0.825387 | Promedio: 0.824679
[2026-05-14 15:18:19] Gen 0027 | Mejor fitness: 0.825387 | Promedio: 0.824880
[2026-05-14 15:18:19] Gen 0028 | Mejor fitness: 0.825387 | Promedio: 0.824680
[2026-05-14 15:18:19] Gen 0029 | Mejor fitness: 0.825387 | Promedio: 0.824637
[2026-05-14 15:18:19] Gen 0030 | Mejor fitness: 0.825387 | Promedio: 0.824855
[2026-05-14 15:18:19] Gen 0031 | Mejor fitness: 0.825387 | Promedio: 0.824916
[2026-05-14 15:18:19] Gen 0032 | Mejor fitness: 0.825387 | Promedio: 0.824721
[2026-05-14 15:18:19] Gen 0033 | Mejor fitness: 0.825400 | Promedio: 0.824792
[2026-05-14 15:18:19] Gen 0034 | Mejor fitness: 0.825400 | Promedio: 0.824894
[2026-05-14 15:18:19] Gen 0035 | Mejor fitness: 0.825400 | Promedio: 0.824881
