[2026-05-14 15:14:02] =======================================================
[2026-05-14 15:14:02] NUEVA EJECUCIÓN
[2026-05-14 15:14:02] Material          : PLA
[2026-05-14 15:14:02] Perfil            : Balanceado
[2026-05-14 15:14:02] Tamaño población  : 400
[2026-05-14 15:14:02] Generaciones      : 1000
[2026-05-14 15:14:02] Tasa cruce        : 0.8
[2026-05-14 15:14:02] Tasa mutación     : 0.1
[2026-05-14 15:14:02] Torneo K          : 3
[2026-05-14 15:14:02] --- Evolución ---
[2026-05-14 15:14:02] Gen 0001 | Mejor fitness: 0.808002 | Promedio: 0.729763
[2026-05-14 15:14:02] Gen 0002 | Mejor fitness: 0.813429 | Promedio: 0.757798
[2026-05-14 15:14:02] Gen 0003 | Mejor fitness: 0.813429 | Promedio: 0.777579
[2026-05-14 15:14:02] Gen 0004 | Mejor fitness: 0.819458 | Promedio: 0.791549
[2026-05-14 15:14:02] Gen 0005 | Mejor fitness: 0.826014 | Promedio: 0.801465
[2026-05-14 15:14:02] Gen 0006 | Mejor fitness: 0.826014 | Promedio: 0.809029
[2026-05-14 15:14:02] Gen 0007 | Mejor fitness: 0.827081 | Promedio: 0.814775
[2026-05-14 15:14:02] Gen 0008 | Mejor fitness: 0.829882 | Promedio: 0.818608
[2026-05-14 15:14:02] Gen 0009 | Mejor fitness: 0.829882 | Promedio: 0.821536
[2026-05-14 15:14:02] Gen 0010 | Mejor fitness: 0.831395 | Promedio: 0.824377
[2026-05-14 15:14:02] Gen 0011 | Mejor fitness: 0.831395 | Promedio: 0.826797
[2026-05-14 15:14:02] Gen 0012 | Mejor fitness: 0.831605 | Promedio: 0.828221
[2026-05-14 15:14:02] Gen 0013 | Mejor fitness: 0.831784 | Promedio: 0.829288
[2026-05-14 15:14:02] Gen 0014 | Mejor fitness: 0.831993 | Promedio: 0.830112
[2026-05-14 15:14:02] Gen 0015 | Mejor fitness: 0.831993 | Promedio: 0.830657
[2026-05-14 15:14:02] Gen 0016 | Mejor fitness: 0.832094 | Promedio: 0.831031
[2026-05-14 15:14:02] Gen 0017 | Mejor fitness: 0.832094 | Promedio: 0.831204
[2026-05-14 15:14:02] Gen 0018 | Mejor fitness: 0.832143 | Promedio: 0.831376
[2026-05-14 15:14:02] Gen 0019 | Mejor fitness: 0.832143 | Promedio: 0.831422
[2026-05-14 15:14:02] Gen 0020 | Mejor fitness: 0.832143 | Promedio: 0.831538
[2026-05-14 15:14:02] Gen 0021 | Mejor fitness: 0.832143 | Promedio: 0.831688
[2026-05-14 15:14:02] Gen 0022 | Mejor fitness: 0.832143 | Promedio: 0.831607
[2026-05-14 15:14:02] Gen 0023 | Mejor fitness: 0.832145 | Promedio: 0.831687
[2026-05-14 15:14:02] Gen 0024 | Mejor fitness: 0.832148 | Promedio: 0.831711
[2026-05-14 15:14:02] Gen 0025 | Mejor fitness: 0.832148 | Promedio: 0.831706
[2026-05-14 15:14:02] Gen 0026 | Mejor fitness: 0.832154 | Promedio: 0.831582
[2026-05-14 15:14:02] Gen 0027 | Mejor fitness: 0.832154 | Promedio: 0.831711
