[2026-05-13 12:47:58] =======================================================
[2026-05-13 12:47:58] NUEVA EJECUCIÓN
[2026-05-13 12:47:58] Material          : PLA
[2026-05-13 12:47:58] Perfil            : Estético
[2026-05-13 12:47:58] Tamaño población  : 200
[2026-05-13 12:47:58] Generaciones      : 500
[2026-05-13 12:47:58] Tasa cruce        : 0.8
[2026-05-13 12:47:58] Tasa mutación     : 0.1
[2026-05-13 12:47:58] Torneo K          : 3
[2026-05-13 12:47:58] --- Evolución ---
[2026-05-13 12:47:58] Gen 0001 | Mejor fitness: 0.780098 | Promedio: 0.660755
[2026-05-13 12:47:58] Gen 0002 | Mejor fitness: 0.780098 | Promedio: 0.701407
[2026-05-13 12:47:58] Gen 0003 | Mejor fitness: 0.797296 | Promedio: 0.731852
[2026-05-13 12:47:58] Gen 0004 | Mejor fitness: 0.804227 | Promedio: 0.755365
[2026-05-13 12:47:58] Gen 0005 | Mejor fitness: 0.804227 | Promedio: 0.771094
[2026-05-13 12:47:58] Gen 0006 | Mejor fitness: 0.804227 | Promedio: 0.783615
[2026-05-13 12:47:58] Gen 0007 | Mejor fitness: 0.810840 | Promedio: 0.793321
[2026-05-13 12:47:58] Gen 0008 | Mejor fitness: 0.810840 | Promedio: 0.798712
[2026-05-13 12:47:58] Gen 0009 | Mejor fitness: 0.813049 | Promedio: 0.802853
[2026-05-13 12:47:58] Gen 0010 | Mejor fitness: 0.814573 | Promedio: 0.805832
[2026-05-13 12:47:58] Gen 0011 | Mejor fitness: 0.814937 | Promedio: 0.808866
[2026-05-13 12:47:58] Gen 0012 | Mejor fitness: 0.814937 | Promedio: 0.811151
[2026-05-13 12:47:58] Gen 0013 | Mejor fitness: 0.815188 | Promedio: 0.812787
[2026-05-13 12:47:58] Gen 0014 | Mejor fitness: 0.815927 | Promedio: 0.813567
[2026-05-13 12:47:58] Gen 0015 | Mejor fitness: 0.816140 | Promedio: 0.814316
[2026-05-13 12:47:58] Gen 0016 | Mejor fitness: 0.816619 | Promedio: 0.814595
[2026-05-13 12:47:58] Gen 0017 | Mejor fitness: 0.816647 | Promedio: 0.814846
[2026-05-13 12:47:58] Gen 0018 | Mejor fitness: 0.816647 | Promedio: 0.815377
[2026-05-13 12:47:58] Gen 0019 | Mejor fitness: 0.816647 | Promedio: 0.815478
[2026-05-13 12:47:58] Gen 0020 | Mejor fitness: 0.816651 | Promedio: 0.815806
[2026-05-13 12:47:58] Gen 0021 | Mejor fitness: 0.816653 | Promedio: 0.815829
[2026-05-13 12:47:58] Gen 0022 | Mejor fitness: 0.816653 | Promedio: 0.815716
[2026-05-13 12:47:58] Gen 0023 | Mejor fitness: 0.816653 | Promedio: 0.815934
[2026-05-13 12:47:58] Gen 0024 | Mejor fitness: 0.816653 | Promedio: 0.815933
[2026-05-13 12:47:58] Gen 0025 | Mejor fitness: 0.816653 | Promedio: 0.815829
[2026-05-13 12:47:58] Gen 0026 | Mejor fitness: 0.816654 | Promedio: 0.815844
[2026-05-13 12:47:58] Gen 0027 | Mejor fitness: 0.816654 | Promedio: 0.815859
[2026-05-13 12:47:58] Gen 0028 | Mejor fitness: 0.816654 | Promedio: 0.815961
[2026-05-13 12:47:58] Gen 0029 | Mejor fitness: 0.816654 | Promedio: 0.816061
[2026-05-13 12:47:58] Gen 0030 | Mejor fitness: 0.816654 | Promedio: 0.815973
[2026-05-13 12:47:58] Gen 0031 | Mejor fitness: 0.816654 | Promedio: 0.815842
